Datetime,Hourly Global Radiation (KJ/m2),Hourly Maximum Gust (kn),Hourly Mean Wind Direction (o),Hourly Mean Windspeed (kn),Hourly Pressure at Mean Sea Level (hPa),Hourly Rainfall Total (mm),Hourly Relative Humidity (%),Hourly Snow Depth (cm),Hourly Temperature (C),"Hourly Total Cloud Cover (oktas)
",Hourly Visibility (dm)
2013-01-07 10:00:00,60.666666666666664,10.0,196.0,5.8,1027.625,0.0,94.2,0.0,7.299999999999999,8.0,980.0
2013-01-07 11:00:00,120.66666666666667,11.6,192.0,6.2,1027.325,0.0,92.65714285714286,0.0,7.642857142857143,8.0,1300.0
2013-01-07 12:00:00,166.0,12.200000000000001,194.0,7.2,1026.9,0.0,91.17142857142858,0.0,7.928571428571429,8.0,1666.6666666666667
2013-01-07 13:00:00,219.33333333333334,12.6,196.0,7.2,1026.2,0.0,89.48571428571428,0.0,8.257142857142858,8.0,1666.6666666666667
2013-01-07 14:00:00,164.33333333333334,13.799999999999999,202.0,7.8,1025.975,0.0,89.88571428571429,0.0,8.3,7.666666666666667,1266.6666666666667
2013-01-07 15:00:00,91.0,13.4,206.0,7.8,1025.625,0.0,90.08571428571429,0.0,8.27142857142857,7.333333333333333,1600.0
2013-01-07 16:00:00,61.666666666666664,14.200000000000001,200.0,8.4,1025.5,0.0,90.68571428571428,0.0,8.085714285714285,7.666666666666667,1400.0
2013-01-07 17:00:00,5.0,14.4,200.0,7.8,1025.425,0.0,91.74285714285715,0.0,7.842857142857143,7.666666666666667,1266.6666666666667
2013-01-07 18:00:00,0.0,12.799999999999999,198.0,7.2,1025.45,0.0,92.5,0.0,7.828571428571428,8.0,1103.3333333333333
2013-01-07 19:00:00,0.0,12.6,196.0,7.2,1025.425,0.0,92.58571428571429,0.0,8.071428571428571,7.666666666666667,1146.6666666666667
2013-01-07 20:00:00,0.0,13.200000000000001,198.0,7.3999999999999995,1025.2,0.0,92.67142857142858,0.0,8.3,7.666666666666667,1033.3333333333333
2013-01-07 21:00:00,0.0,12.799999999999999,202.0,7.8,1025.075,0.0,92.15714285714286,0.0,8.528571428571428,7.666666666666667,1110.0
2013-01-07 22:00:00,0.0,12.4,202.0,6.8,1025.125,0.0,91.21428571428571,0.0,8.657142857142857,8.0,1300.0
2013-01-07 23:00:00,0.0,12.200000000000001,208.0,6.8,1024.825,0.0,89.91428571428571,0.0,8.8,8.0,1500.0
2013-01-08 00:00:00,0.0,11.200000000000001,206.0,6.6000000000000005,1024.825,0.0,89.11428571428571,0.0,8.842857142857143,7.666666666666667,1733.3333333333333
2013-01-08 01:00:00,0.0,11.200000000000001,210.0,6.6000000000000005,1024.725,0.0,89.10000000000001,0.0,8.828571428571427,7.666666666666667,1900.0
2013-01-08 02:00:00,0.0,11.0,212.0,6.6000000000000005,1024.575,0.0,89.85714285714286,0.0,8.814285714285713,8.0,1866.6666666666667
2013-01-08 03:00:00,0.0,11.6,210.0,6.6000000000000005,1024.4750000000001,0.0,89.35714285714286,0.0,8.928571428571429,7.333333333333333,2300.0
2013-01-08 04:00:00,0.0,12.799999999999999,220.0,6.6000000000000005,1024.25,0.0,86.37142857142858,0.0,9.200000000000001,7.333333333333333,2766.6666666666665
2013-01-08 05:00:00,0.0,13.4,220.0,6.6000000000000005,1024.125,0.0,85.15714285714286,0.0,9.299999999999999,8.0,2866.6666666666665
2013-01-08 06:00:00,0.0,11.6,210.0,7.0,1024.0,0.0,84.77142857142857,0.0,9.328571428571427,7.333333333333333,2733.3333333333335
2013-01-08 07:00:00,0.0,11.200000000000001,208.0,6.0,1024.225,0.0,85.28571428571429,0.0,9.257142857142856,7.0,2733.3333333333335
